Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Raja Babu,1994-01-21,Super Hit,1515062180.0,Masala,150 min,73.00% (5 Ratings),23000000.0,Sapna Arts,"['Govinda', 'Karisma Kapoor', 'Shakti Kapoor', 'Aruna Irani']",David Dhawan
Pyaar Kiya To Darna Kya,1998-03-27,Super Hit,1502175400.0,Love Story,150 min,64.56% (34 Ratings),77500000.0,G.S. Entertainment Pvt. Ltd.,"['Dharmendra', 'Salman Khan', 'Kajol', 'Arbaaz Khan']",Sohail Khan
Saajan Chale Sasural,1996-04-12,Super Hit,1498136260.0,Masala,133 min,51.25% (4 Ratings),42500000.0,Anas Films Pvt. Ltd.,"['Govinda', 'Karisma Kapoor', 'Tabu', 'Kader Khan']",David Dhawan
Coolie No. 1,1995-06-30,Super Hit,1428893860.0,Masala,139 min,46.25% (4 Ratings),35000000.0,Puja Entertainment Ltd.,"['Govinda', 'Karisma Kapoor', 'Harish', 'Kanchan']",David Dhawan
Judaai,1997-02-28,Super Hit,1344841280.0,Drama,160 min,53.33% (3 Ratings),60000000.0,S.K. Films Enterprises,"['Anil Kapoor', 'Sridevi', 'Urmila Matondkar', 'Kader Khan']",Raj Kanwar
Bandit Queen,1996-01-26,Super Hit,1305411580.0,Drama,119 min,60.00% (2 Ratings),32500000.0,B.V. Video Graphics Pvt. Ltd. |  Kaleidoscope Entertainment Pvt. Ltd.,"['Seema Biswas', 'Nirmal Pandey', 'Manoj Bajpai', 'Rajesh Vivek']",Shekhar Kapur
Hum Aapke Dil Mein Rehte Hain,1999-01-22,Super Hit,1297044790.0,Drama,165 min,42.50% (2 Ratings),62500000.0,Suresh Productions Pvt. Ltd.,"['Anil Kapoor', 'Kajol', 'Anupam Kher', 'Shakti Kapoor']",Satish Kaushik
Dilwale,1994-02-04,Super Hit,1232803230.0,Drama,165 min,46.00% (5 Ratings),21000000.0,S.P. Creations,"['Ajay Devgn', 'Suneil Shetty', 'Raveena Tandon', 'Paresh Rawal']",Harry Baweja
Bewafa Sanam,1995-05-12,Super Hit,632221580.0,Love Story,145 min,20.00% (1 Ratings),12500000.0,Super Cassettes Industries Pvt. Ltd.,"['Krishan Kumar', 'Shilpa Shirodkar', 'Sagar', 'Aruna Irani']",Gulshan Kumar
Hum Dil De Chuke Sanam,1999-06-18,Hit,1716923010.0,Love Story,184 min,68.26% (43 Ratings),160000000.0,Sanjay Leela Bhansali Films,"['Salman Khan', 'Ajay Devgn', 'Aishwarya Rai', 'Zohra Sehgal']",Sanjay Leela Bhansali
Gupt,1997-07-04,Hit,1681628620.0,Thriller,163 min,70.83% (6 Ratings),95000000.0,Trimurti Films Pvt. Ltd.,"['Bobby Deol', 'Manisha Koirala', 'Kajol', 'Prem Chopra']",Rajiv Rai
Bade Miyan Chote Miyan,1998-10-16,Hit,1569205890.0,Masala,144 min,63.57% (7 Ratings),120000000.0,Epic Enterprises,"['Amitabh Bachchan', 'Govinda', 'Raveena Tandon', 'Ramya Krishnan']",David Dhawan
Sarfarosh,1999-04-30,Hit,1313586030.0,Drama,158 min,62.62% (21 Ratings),80000000.0,Cinematt Pictures Pvt. Ltd.,"['Naseeruddin Shah', 'Aamir Khan', 'Sonali Bendre', 'Mukesh Rishi']",John M. Matthan
Judwaa,1997-02-07,Hit,1311181780.0,Masala,139 min,66.90% (21 Ratings),62500000.0,Nadiadwala Grandson Entertainment,"['Salman Khan', 'Karisma Kapoor', 'Rambha', 'Kader Khan']",David Dhawan
